Temps,Axe de travail,Exercice,Date,Timestamp,Commentaire
30,Rappel large,Gretillat Positions Livre,2023-08-12,2023-08-12 15:43:51.206080,résultat exigeant
30,Billes en lunette,Gretillat placement rappel 1b 2b 3b,2023-08-12,2023-08-12 15:45:17.535293,
30,Billes en lunette,Gretillat placement rappel 1b 2b 3b,2023-08-12,2023-08-12 15:45:46.924172,
30,Billes en lunette,Gretillat placement rappel 1b 2b 3b,2023-08-12,2023-08-12 15:45:52.424245,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:26.037678,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:28.015754,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:28.743278,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:29.232333,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:29.743931,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:30.284610,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:30.814190,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:31.743318,
30,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:32.140579,
25,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:36.987525,
25,Billes en lunette,Petite ligne,2023-08-12,2023-08-12 15:46:37.482936,
30,Billes en lunette,Enchainement billes lunette Guenet 1,2023-08-12,2023-08-12 15:47:11.751733,
30,Billes en lunette,Enchainement billes lunette Guenet 1,2023-08-12,2023-08-12 15:47:12.668974,
30,Prises americaine,Divers,2023-08-12,2023-08-12 15:48:37.426827,
40,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:48:59.608327,12-28
30,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:49:12.619927,29-39
20,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:49:26.486252,1-9
15,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:49:40.159140,10-15
15,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:49:48.602737,13-22
45,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:50:06.429305,23-43
20,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:50:19.282679,1-8
30,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:50:33.246768,9-15
20,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:50:44.106570,16-21
60,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:51:17.354878,22-36
30,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:51:42.904533,37-42
70,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:51:58.647175,1-16
60,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:52:10.641031,17-30
45,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:52:30.869674,31-43
40,Série,Serie libre,2023-08-12,2023-08-12 15:53:14.069246,série 19
20,Série,Serie libre,2023-08-12,2023-08-12 15:53:25.958366,série 49
30,Série,Serie libre,2023-08-12,2023-08-12 15:53:40.136079,série 25
30,Série,Serie libre,2023-08-12,2023-08-12 15:53:53.517238,série 34
30,Série,Serie libre,2023-08-12,2023-08-12 15:54:00.971540,série 37
30,Série,Serie libre,2023-08-12,2023-08-12 15:54:09.099282,série 19
25,Série,Serie libre,2023-08-12,2023-08-12 15:54:23.815573,série 21
30,Série,Serie libre,2023-08-12,2023-08-12 15:54:34.622667,série 16
20,Série,Serie libre,2023-08-12,2023-08-12 15:54:43.417033,série 18
30,Série,Serie libre,2023-08-12,2023-08-12 15:55:04.282801,série 100 en trichant
36,Série,Serie libre,2023-08-12,2023-08-12 15:55:19.204285,
16,Série,Serie libre,2023-08-12,2023-08-12 15:55:34.097585,série 10
30,Série,Serie libre,2023-08-12,2023-08-12 15:55:46.760619,série 35
30,Série,Serie libre,2023-08-12,2023-08-12 15:56:02.559308,série 100 en trichant
30,Série,Serie libre,2023-08-12,2023-08-12 15:56:15.428627,série 53
25,Série,Serie libre,2023-08-12,2023-08-12 15:56:25.101317,série 20
40,Série,Serie libre,2023-08-12,2023-08-12 15:56:34.049532,série 20
20,Série,Tentatives prise americaine,2023-08-12,2023-08-12 15:57:03.597233,1/10
30,Série,Tentatives prise americaine,2023-08-12,2023-08-12 15:57:18.527475,0/10
